时间,开盘价,最高价,最低价,收盘价,成交量,成交额,成交笔数
2025-10-16 19:00:00,111418.7,111522.0,111181.7,111374.4,57.507,6403397.1007,2276
2025-10-16 18:45:00,111395.3,111601.0,111394.1,111418.7,51.889,5784576.2361,2185
2025-10-16 18:30:00,111313.0,111459.5,111198.9,111395.3,130.991,14578226.7929,1959
2025-10-16 18:15:00,111336.2,111675.6,111261.2,111313.0,283.249,31555220.3145,2368
2025-10-16 18:00:00,111098.8,111470.1,110966.6,111336.2,118.965,13226793.0618,2688
2025-10-16 17:45:00,111166.1,111600.0,110969.8,111098.8,204.311,22730922.4452,2921
2025-10-16 17:30:00,110615.5,111429.6,109423.9,111166.1,332.068,36517791.4001,3225
2025-10-16 17:15:00,110787.2,110887.5,110614.9,110615.5,231.218,25600717.3311,2262
2025-10-16 17:00:00,110761.8,110920.2,110680.0,110787.2,49.127,5444374.1600,2067
2025-10-16 16:45:00,110661.3,110850.0,110622.3,110761.8,70.707,7832768.8123,2128
2025-10-16 16:30:00,110487.6,110803.4,110439.5,110661.3,78.226,8652824.8740,2008
2025-10-16 16:15:00,110601.7,110690.0,110438.9,110487.6,59.850,6617330.4255,1961
2025-10-16 16:00:00,110518.9,110612.7,110329.3,110601.7,294.088,32498803.8353,2025
2025-10-16 15:45:00,110846.2,110846.7,110483.8,110518.9,156.595,17335034.7729,2081
2025-10-16 15:30:00,110699.0,110875.9,110661.2,110846.2,77.615,8599150.6305,1883
2025-10-16 15:15:00,111338.5,111338.5,110648.9,110699.0,99.855,11085161.2217,1992
2025-10-16 15:00:00,111605.6,111714.0,111255.1,111338.5,132.223,14741661.2309,1816
2025-10-16 14:45:00,111288.7,111665.3,111287.5,111605.6,73.759,8226473.1248,1843
2025-10-16 14:30:00,111250.9,111485.8,111243.5,111288.7,79.526,8855268.2266,1727
2025-10-16 14:15:00,110875.1,111259.2,110845.3,111250.9,131.236,14569449.9902,1636
2025-10-16 14:00:00,110880.8,111141.8,110874.7,110875.1,107.247,11900513.9389,1617
2025-10-16 13:45:00,111295.0,111311.4,110663.3,110880.8,76.774,8516898.9898,1610
2025-10-16 13:30:00,110998.5,111420.0,110997.5,111295.0,85.611,9524062.1175,1578
2025-10-16 13:15:00,111061.5,111113.5,110902.3,110998.5,321.231,35652808.3914,1611
2025-10-16 13:00:00,110918.5,111114.3,110843.2,111061.5,66.223,7349460.9421,1559
2025-10-16 12:45:00,110932.8,111069.4,110744.3,110918.5,102.416,11361289.7236,1707
2025-10-16 12:30:00,111492.1,111534.0,110862.4,110932.8,121.159,13482013.0045,1490
2025-10-16 12:15:00,111541.5,111629.2,111472.1,111492.1,70.091,7817630.3492,1059
2025-10-16 12:00:00,111278.1,111593.0,111256.2,111541.5,83.125,9258892.2492,1408
2025-10-16 11:45:00,111521.4,111578.5,111206.2,111278.1,62.792,6997075.4593,1388
2025-10-16 11:30:00,111675.7,111675.7,111344.9,111521.4,61.237,6826613.1226,1668
2025-10-16 11:15:00,111449.4,111825.0,111383.3,111675.7,98.326,10974173.0134,1842
2025-10-16 11:00:00,111463.9,111568.8,111356.4,111449.4,49.052,5467708.5011,1674
2025-10-16 10:45:00,111286.7,111511.7,111249.0,111463.9,232.285,25861498.4932,1769
2025-10-16 10:30:00,111358.5,111379.8,111219.5,111286.7,35.347,3933805.1037,1548
2025-10-16 10:15:00,111284.1,111423.5,111237.7,111358.5,121.576,13536134.0785,1706
2025-10-16 10:00:00,111255.6,111524.5,110956.0,111284.1,85.425,9503557.5141,2127
2025-10-16 09:45:00,110974.4,111291.6,110866.9,111255.6,243.563,27032531.4316,1802
2025-10-16 09:30:00,110842.1,111084.5,110758.8,110974.4,42.829,4751928.3044,1673
2025-10-16 09:15:00,110956.5,110993.1,110657.1,110842.1,262.278,29063610.0941,1652
2025-10-16 09:00:00,110387.4,111069.6,110373.7,110956.5,51.324,5687392.9178,1761
2025-10-16 08:45:00,110322.2,110506.5,110300.9,110387.4,45.410,5012296.2452,1539
2025-10-16 08:30:00,110736.9,110739.7,110305.4,110322.2,39.054,4313617.2983,1968
2025-10-16 08:15:00,110483.8,110796.6,110437.1,110736.9,189.338,20933716.1979,1853
2025-10-16 08:00:00,110699.3,110791.3,110483.7,110483.8,146.113,16160159.3767,1868
2025-10-16 07:45:00,110886.6,110900.1,110589.5,110699.3,66.406,7355875.2782,1493
2025-10-16 07:30:00,110825.7,110957.3,110747.0,110886.6,30.813,3415519.7053,1446
2025-10-16 07:15:00,110806.3,110879.2,110697.2,110825.7,249.862,27693564.9595,1340
2025-10-16 07:00:00,110606.7,110888.4,110526.3,110806.3,163.244,18062767.7226,1718
2025-10-16 06:45:00,111148.6,111148.6,110593.5,110606.7,46.025,5099963.1843,1925
2025-10-16 06:30:00,111114.5,111258.5,111096.4,111148.6,35.838,3984172.4651,1137
2025-10-16 06:15:00,111009.3,111334.2,110974.6,111114.5,105.880,11772365.0283,1502
2025-10-16 06:00:00,110792.9,111015.8,110747.1,111009.3,37.314,4137283.7164,1527
2025-10-16 05:45:00,111048.7,111144.6,110630.7,110792.9,71.023,7877437.8274,1669
2025-10-16 05:30:00,110912.4,111369.5,110717.8,111048.7,201.681,22442714.1701,1983
2025-10-16 05:15:00,110749.6,111038.9,110527.8,110912.4,130.378,14421599.1575,1937
2025-10-16 05:00:00,111049.0,111104.8,110433.9,110749.6,79.636,8829935.4022,1780
2025-10-16 04:45:00,111218.6,111380.2,110974.3,111049.0,108.298,12033446.9270,1746
2025-10-16 04:30:00,110988.9,111295.8,110449.9,111218.6,94.791,10507167.1785,2243
2025-10-16 04:15:00,111351.8,111500.0,110961.9,110988.9,48.537,5404159.8131,1843
2025-10-16 04:00:00,111197.8,111437.5,111197.8,111351.8,53.064,5906625.2667,1829
2025-10-16 03:45:00,111246.7,111249.6,111019.0,111197.8,100.332,11155259.4360,1969
2025-10-16 03:30:00,111425.0,111473.2,111074.3,111246.7,158.134,17578262.3519,1902
2025-10-16 03:15:00,111158.2,111499.1,111127.7,111425.0,28.175,3137163.5074,1692
2025-10-16 03:00:00,111373.4,111392.6,111031.1,111158.2,39.062,4342441.3310,2078
2025-10-16 02:45:00,111104.7,111442.5,111014.3,111373.4,39.328,4374599.1103,1920
2025-10-16 02:30:00,111153.9,111258.9,110933.1,111104.7,28.304,3145659.5786,1504
2025-10-16 02:15:00,110925.0,111328.7,110914.3,111153.9,110.787,12309008.9479,1766
2025-10-16 02:00:00,111138.1,111153.8,110768.7,110925.0,130.642,14494643.7164,1470
2025-10-16 01:45:00,110664.4,111138.1,110664.4,111138.1,442.440,49064919.3967,1716
2025-10-16 01:30:00,110348.9,110690.3,110184.5,110664.4,169.503,18725554.0309,1572
2025-10-16 01:15:00,110221.9,110621.8,110098.9,110348.9,229.636,25340534.8173,1628
2025-10-16 01:00:00,110693.0,110701.1,110180.3,110221.9,106.323,11738690.6707,1676
2025-10-16 00:45:00,110640.3,110806.2,110548.7,110693.0,269.753,29846722.9495,1414
2025-10-16 00:30:00,110921.0,110986.9,110586.3,110640.3,135.726,15036212.8309,1418
2025-10-16 00:15:00,110860.8,111021.5,110639.0,110921.0,240.879,26679881.0436,1571
2025-10-16 00:00:00,110758.4,111076.0,110560.4,110860.8,119.429,13232083.1318,1803
2025-10-15 23:45:00,110685.4,110759.4,110329.0,110758.4,111.672,12347780.7339,2048
2025-10-15 23:30:00,111139.3,111329.9,110528.8,110685.4,76.711,8509389.6438,1999
2025-10-15 23:15:00,110787.8,111538.3,110498.9,111139.3,128.624,14283751.6446,2179
2025-10-15 23:00:00,111000.4,111225.1,110671.7,110787.8,132.575,14723829.2986,2041
2025-10-15 22:45:00,111246.8,111284.0,110743.9,111000.4,150.387,16695397.2510,2103
2025-10-15 22:30:00,111866.1,111895.2,111136.5,111246.8,132.395,14759045.1243,2170
2025-10-15 22:15:00,111973.0,112140.8,111759.6,111866.1,209.303,23418621.0632,1941
2025-10-15 22:00:00,111339.0,112173.3,111329.4,111973.0,286.646,32044860.8563,2408
2025-10-15 21:45:00,111274.5,111446.6,110686.2,111339.0,251.383,27928810.0273,2607
2025-10-15 21:30:00,111379.1,111956.3,111113.7,111274.5,284.287,31763436.9734,2911
2025-10-15 21:15:00,111422.6,111579.3,111347.0,111379.1,61.735,6881172.3129,2047
2025-10-15 21:00:00,111655.6,111655.6,111290.8,111422.6,115.705,12900411.0335,2018
2025-10-15 20:45:00,111556.7,111757.9,111495.5,111655.6,158.633,17702763.9883,2069
2025-10-15 20:30:00,111413.8,111639.4,111343.3,111556.7,127.398,14203110.6315,2173
2025-10-15 20:15:00,111931.0,111953.8,111321.5,111413.8,98.549,11004143.1242,1946
2025-10-15 20:00:00,111840.1,112040.5,111713.5,111931.0,382.535,42781645.4947,1916
2025-10-15 19:45:00,112054.4,112057.1,111799.2,111840.1,55.085,6164305.3244,1538
2025-10-15 19:30:00,111989.9,112057.1,111809.0,112054.4,51.406,5754676.4101,1769
2025-10-15 19:15:00,112200.5,112231.5,111605.3,111989.9,92.517,10351575.9529,2310
2025-10-15 19:00:00,112215.2,112554.9,112189.0,112200.5,74.885,8414955.6434,2180
2025-10-15 18:45:00,112281.1,112353.6,112093.7,112215.2,72.446,8132194.0696,1657
2025-10-15 18:30:00,112357.3,112428.3,112019.4,112281.1,64.407,7231331.3302,1794
2025-10-15 18:15:00,112528.9,112553.2,112260.7,112357.3,160.842,18070518.5402,1655
